O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
4808192,"A1",O,65478.05,1996-06-29,2-HIGH,Clerk#000000473,0,eposits use against the express accounts. carefully regular ideas sleep blithe
454791,"A1",F,74602.81,1992-04-19,1-URGENT,Clerk#000000815,0,uriously ironic deposits wake across the s
4273923,"A1",O,95911.01,1997-03-23,3-MEDIUM,Clerk#000000381,0,ep fluffily along the carefull
579908,"A1",O,54048.26,1996-12-09,5-LOW,Clerk#000000783,0," asymptotes. regular requests boost blithely. pending gifts according to the"
3868359,"A1",F,123076.84,1992-08-22,5-LOW,Clerk#000000536,0,. furiously bold asymptotes are instructions. quickly ironic dep
5133509,"A1",O,174645.94,1996-07-01,1-URGENT,Clerk#000000463,0,al accounts could have to cajole furiously even
1842406,"A2",O,174291.41,1996-08-05,1-URGENT,Clerk#000000521,0,s. excuses lose. pen
1374019,"A2",F,167016.61,1992-04-05,1-URGENT,Clerk#000000440,0,lithe packages. acco
430243,"A2",F,33082.83,1994-12-24,4-NOT SPECIFIED,Clerk#000000121,0,n braids among the final packages cajole pendin
1763205,"A2",F,16495.33,1994-08-28,1-URGENT,Clerk#000000450,0,ven requests. blithely express excuses nag or
1071617,"A2",P,221397.35,1995-03-10,2-HIGH,Clerk#000000408,0,"al, unusual packages. furiously final requests use quickly. f"
3986496,"A2",O,312692.22,1997-02-22,1-URGENT,Clerk#000000768,0,. theodolites nag fluffily above the blithely iron
2992930,"A2",F,103297.68,1994-05-21,4-NOT SPECIFIED,Clerk#000000913,0,owly slyly final platelets. ironic instructions wake carefully unusual plate
4960614,"A4",O,91152.97,1997-10-03,4-NOT SPECIFIED,Clerk#000000706,0,ithely final dependencies cajole blithely. express instructions are slyly a
1953441,"A4",O,235621.83,1996-06-06,2-HIGH,Clerk#000000288,0,iers are. quickly final instructi
164711,"A4",F,311722.87,1992-04-26,3-MEDIUM,Clerk#000000361,0,"accounts among the regular, "
3251169,"A4",O,225294.26,1996-01-06,5-LOW,Clerk#000000310,0,arefully final packages boost against the furiously
1755398,"A4",O,1131.20,1997-06-12,5-LOW,Clerk#000000765,0,s. slyly ironic packa
1192231,"A4",O,143971.54,1996-06-03,1-URGENT,Clerk#000000978,0,osits haggle carefully. carefully final grouches are. blithely si
385825,"A4",O,277493.04,1995-11-01,2-HIGH,Clerk#000000465,0,e even foxes. regularly even instructions boost carefully along
1590469,"A4",O,75928.49,1997-03-07,2-HIGH,Clerk#000000217,0,y pending pinto beans. carefully express theodolites cajole
1978756,"A4",O,314671.82,1996-08-02,3-MEDIUM,Clerk#000000661,0,es. blithely special theodolites cajole slyly carefully regular asymp
2765152,"A4",O,8332.33,1996-08-11,4-NOT SPECIFIED,Clerk#000000618,0,onic packages. slyly express requests
5453440,"A4",O,17938.41,1997-07-12,2-HIGH,Clerk#000000360,0,s sleep idly foxes. final accounts x-ray slyly. slyly even platelets h
1226497,"A4",F,88317.19,1993-10-04,1-URGENT,Clerk#000000154,0,al theodolites. quickly ruthless accounts lose blithely furiously re
2459619,"A4",O,46227.94,1996-01-03,5-LOW,Clerk#000000917,0,iously ironic pinto beans sleep furiously across the quickly unusual notornis.
1944711,"A4",P,104934.65,1995-05-06,1-URGENT,Clerk#000000580,0,deas wake. slyly silent packa
3421092,"A4",O,181618.75,1998-05-16,3-MEDIUM,Clerk#000000762,0,refully even pinto beans. furiously
4320612,"A4",F,182956.01,1992-09-20,2-HIGH,Clerk#000000994,0," silently ironic theodolites are around the r"
2986913,"A4",F,40347.48,1994-06-10,3-MEDIUM,Clerk#000000633,0,", bold accounts use slyly even excuses. pending req"
5612065,"A4",O,71845.26,1997-09-07,3-MEDIUM,Clerk#000000999,0,quests boost fluffily. blithely f
3951331,"A4",O,76100.95,1997-11-23,3-MEDIUM,Clerk#000000341,0,ly express platelets above the carefully
3683623,"A4",O,152929.80,1996-11-29,3-MEDIUM,Clerk#000000652,0,lve. furiously silent fret
2630562,"A5",F,324835.83,1993-06-27,4-NOT SPECIFIED,Clerk#000000966,0,carefully final deposits. quickly silent pains are among the careful
